company_name,pickup_date,target
rakuten,2017-05-17,4
jalan,2017-05-18,0
rakuten,2017-05-18,10
jalan,2017-05-19,4
rakuten,2017-05-19,4
jalan,2017-05-20,3
rakuten,2017-05-20,6
jalan,2017-05-21,1
rakuten,2017-05-21,2
jalan,2017-05-22,2
rakuten,2017-05-22,1
jalan,2017-05-23,1
rakuten,2017-05-23,2
jalan,2017-05-24,0
rakuten,2017-05-24,4
jalan,2017-05-26,0
rakuten,2017-05-26,5
jalan,2017-05-27,1
rakuten,2017-05-27,4
jalan,2017-05-28,2
rakuten,2017-05-28,3
jalan,2017-05-29,1
rakuten,2017-05-29,2
jalan,2017-05-30,1
rakuten,2017-05-30,4
jalan,2017-05-31,2
rakuten,2017-05-31,3
jalan,2017-06-01,1
rakuten,2017-06-01,4
jalan,2017-06-02,3
rakuten,2017-06-02,12
jalan,2017-06-03,6
rakuten,2017-06-03,5
jalan,2017-06-04,2
rakuten,2017-06-04,4
jalan,2017-06-05,2
rakuten,2017-06-05,6
jalan,2017-06-06,1
rakuten,2017-06-06,11
jalan,2017-06-07,4
rakuten,2017-06-07,0
jalan,2017-06-08,2
rakuten,2017-06-08,2
jalan,2017-06-09,0
rakuten,2017-06-09,4
jalan,2017-06-10,4
rakuten,2017-06-10,2
jalan,2017-06-11,3
rakuten,2017-06-11,4
jalan,2017-06-12,1
rakuten,2017-06-12,5
jalan,2017-06-13,1
rakuten,2017-06-13,6
jalan,2017-06-14,1
rakuten,2017-06-14,2
jalan,2017-06-15,1
rakuten,2017-06-15,6
jalan,2017-06-16,3
rakuten,2017-06-16,13
jalan,2017-06-17,6
rakuten,2017-06-17,7
jalan,2017-06-18,2
rakuten,2017-06-18,1
jalan,2017-06-19,4
rakuten,2017-06-19,7
jalan,2017-06-20,2
rakuten,2017-06-20,3
jalan,2017-06-21,1
rakuten,2017-06-21,1
jalan,2017-06-22,2
rakuten,2017-06-22,9
jalan,2017-06-23,5
rakuten,2017-06-23,6
jalan,2017-06-24,13
rakuten,2017-06-24,9
jalan,2017-06-25,4
rakuten,2017-06-25,5
jalan,2017-06-26,4
rakuten,2017-06-26,3
jalan,2017-06-27,2
rakuten,2017-06-27,3
jalan,2017-06-28,1
rakuten,2017-06-28,5
jalan,2017-06-29,3
rakuten,2017-06-29,5
jalan,2017-06-30,4
rakuten,2017-06-30,12
jalan,2017-07-01,5
rakuten,2017-07-01,1
jalan,2017-07-02,2
rakuten,2017-07-02,4
jalan,2017-07-03,2
rakuten,2017-07-03,3
jalan,2017-07-04,3
rakuten,2017-07-04,1
jalan,2017-07-05,1
rakuten,2017-07-05,3
jalan,2017-07-06,1
rakuten,2017-07-06,6
jalan,2017-07-07,9
rakuten,2017-07-07,13
jalan,2017-07-08,5
rakuten,2017-07-08,9
jalan,2017-07-09,2
rakuten,2017-07-09,4
jalan,2017-07-10,0
rakuten,2017-07-10,3
jalan,2017-07-11,2
rakuten,2017-07-11,2
jalan,2017-07-12,4
rakuten,2017-07-12,3
jalan,2017-07-13,10
rakuten,2017-07-13,6
jalan,2017-07-14,3
rakuten,2017-07-14,7
jalan,2017-07-15,3
rakuten,2017-07-15,10
jalan,2017-07-16,0
rakuten,2017-07-16,6
jalan,2017-07-18,0
rakuten,2017-07-18,1
jalan,2017-07-19,0
rakuten,2017-07-19,6
jalan,2017-07-20,0
rakuten,2017-07-20,5
jalan,2017-07-21,1
rakuten,2017-07-21,5
jalan,2017-07-22,1
rakuten,2017-07-22,3
jalan,2017-07-23,1
rakuten,2017-07-23,3
jalan,2017-07-24,0
rakuten,2017-07-24,3
jalan,2017-07-25,2
rakuten,2017-07-25,3
jalan,2017-07-26,0
rakuten,2017-07-26,6
jalan,2017-07-27,4
rakuten,2017-07-27,2
jalan,2017-07-28,3
rakuten,2017-07-28,5
jalan,2017-07-29,1
rakuten,2017-07-29,3
jalan,2017-07-30,4
rakuten,2017-07-30,1
jalan,2017-07-31,6
rakuten,2017-07-31,2
jalan,2017-08-01,6
rakuten,2017-08-01,4
jalan,2017-08-02,4
rakuten,2017-08-02,2
jalan,2017-08-03,2
rakuten,2017-08-03,7
jalan,2017-08-04,1
rakuten,2017-08-04,2
jalan,2017-08-05,1
rakuten,2017-08-05,1
jalan,2017-08-06,2
rakuten,2017-08-06,4
jalan,2017-08-07,0
rakuten,2017-08-07,2
jalan,2017-08-08,1
rakuten,2017-08-08,7
jalan,2017-08-09,4
rakuten,2017-08-09,14
jalan,2017-08-10,0
rakuten,2017-08-10,4
jalan,2017-08-11,3
rakuten,2017-08-11,4
jalan,2017-08-12,3
rakuten,2017-08-12,7
jalan,2017-08-13,4
rakuten,2017-08-13,13
jalan,2017-08-14,2
rakuten,2017-08-14,17
jalan,2017-08-15,0
rakuten,2017-08-15,14
jalan,2017-08-16,0
rakuten,2017-08-16,6
jalan,2017-08-17,0
rakuten,2017-08-17,6
jalan,2017-08-18,0
rakuten,2017-08-18,2
jalan,2017-08-19,0
rakuten,2017-08-19,1
jalan,2017-08-20,10
rakuten,2017-08-20,3
jalan,2017-08-21,7
rakuten,2017-08-21,4
jalan,2017-08-22,3
rakuten,2017-08-22,2
jalan,2017-08-23,5
rakuten,2017-08-23,4
jalan,2017-08-24,6
rakuten,2017-08-24,3
jalan,2017-08-25,2
rakuten,2017-08-25,9
jalan,2017-08-26,3
rakuten,2017-08-26,1
jalan,2017-08-27,8
rakuten,2017-08-27,3
jalan,2017-08-28,4
rakuten,2017-08-28,2
jalan,2017-08-29,3
rakuten,2017-08-29,1
jalan,2017-08-30,3
rakuten,2017-08-30,5
jalan,2017-08-31,2
rakuten,2017-08-31,4
jalan,2017-09-01,3
rakuten,2017-09-01,4
jalan,2017-09-02,1
rakuten,2017-09-02,4
jalan,2017-09-03,1
rakuten,2017-09-03,0
jalan,2017-09-04,2
rakuten,2017-09-04,3
jalan,2017-09-05,1
rakuten,2017-09-05,4
jalan,2017-09-06,2
rakuten,2017-09-06,7
jalan,2017-09-07,1
rakuten,2017-09-07,5
jalan,2017-09-08,1
rakuten,2017-09-08,3
jalan,2017-09-09,3
rakuten,2017-09-09,5
jalan,2017-09-10,2
rakuten,2017-09-10,2
jalan,2017-09-11,1
rakuten,2017-09-11,8
jalan,2017-09-12,3
rakuten,2017-09-12,4
jalan,2017-09-13,1
rakuten,2017-09-13,8
jalan,2017-09-14,0
rakuten,2017-09-14,16
jalan,2017-09-15,0
rakuten,2017-09-15,3
jalan,2017-09-16,5
rakuten,2017-09-16,5
jalan,2017-09-17,2
rakuten,2017-09-17,5
jalan,2017-09-18,3
rakuten,2017-09-18,3
jalan,2017-09-19,2
rakuten,2017-09-19,1
jalan,2017-09-20,3
rakuten,2017-09-20,1
jalan,2017-09-21,1
